SRR873382	SRR873383	SRR873384	SRR873385	SRR873386	SRR873387	SRR873388	SRR873389
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0
hsa-let-7a-3p	1169	1111	686	579	783	458	716	622
hsa-let-7a-5p	1703803	1960309	2421508	1283236	1288382	933117	1281695	1384339
hsa-let-7b-3p	208	293	99	121	131	71	127	141
hsa-let-7b-5p	633133	857336	333850	534398	512841	563838	508544	589382
hsa-let-7c-3p	27	60	7	30	20	15	15	14
hsa-let-7c-5p	92245	123080	74554	76163	80495	68687	71216	78378
hsa-let-7d-3p	3020	2738	1424	1415	2725	2213	3138	3390
hsa-let-7d-5p	60950	62390	102444	36686	33878	28812	35321	37878
hsa-let-7e-3p	98	91	80	70	64	54	52	85
hsa-let-7e-5p	112286	110125	164679	81352	71317	54192	57994	65651
hsa-let-7f-1-3p	180	263	123	73	82	49	78	73
hsa-let-7f-2-3p	45	43	33	30	32	39	25	18
hsa-let-7f-5p	1317274	1242808	2158394	972964	915039	620731	872846	905901
hsa-let-7g-3p	86	105	101	29	37	47	38	22
hsa-let-7g-5p	105254	94978	163164	67220	64145	66787	63021	65014
hsa-let-7i-3p	116	159	152	77	107	160	94	89
hsa-let-7i-5p	64743	48846	78348	36163	39828	47940	39298	40925
hsa-miR-1	63	47	52	99	109	90	133	122
hsa-miR-100-3p	0	0	1	0	0	0	0	0
hsa-miR-100-5p	7	20	6	27	18	18	13	46
hsa-miR-101-3p	69998	53439	33625	58541	74985	99999	71655	63615
hsa-miR-101-5p	47	43	54	29	59	63	64	54
hsa-miR-103a-2-5p	50	59	89	35	21	43	26	21
hsa-miR-103a-3p	0	0	0	0	0	0	0	0
hsa-miR-103b	0	0	0	0	0	0	0	0
hsa-miR-105-3p	0	0	3	1	1	2	3	0
hsa-miR-105-5p	104	101	72	99	115	128	89	106
hsa-miR-106a-3p	0	0	1	1	0	0	0	0
hsa-miR-106a-5p	727	432	317	291	231	270	245	298
hsa-miR-106b-3p	2442	2003	1080	2484	3223	4384	3037	3264
hsa-miR-106b-5p	90763	99126	65116	59558	62713	76665	64298	59664
hsa-miR-107	2901	1830	3635	1302	1222	1541	1082	1153
hsa-miR-10a-3p	7	5	6	2	6	3	7	0
hsa-miR-10a-5p	1194	917	521	956	1573	1381	2101	2293
hsa-miR-10b-3p	0	0	0	0	1	0	0	0
hsa-miR-10b-5p	25	13	6	15	20	22	21	23
hsa-miR-1178-3p	0	2	0	0	0	1	0	0
hsa-miR-1178-5p	0	0	0	0	0	0	0	0
hsa-miR-1179	72	81	102	52	39	31	29	55
hsa-miR-1180-3p	383	356	276	181	180	307	139	199
hsa-miR-1180-5p	13	14	9	1	4	7	5	4
hsa-miR-1181	0	0	0	2	0	1	3	1
hsa-miR-1182	0	0	0	0	0	0	0	0
hsa-miR-1183	0	0	0	0	0	0	0	0
hsa-miR-1184	2	3	0	0	2	2	0	0
hsa-miR-1185-1-3p	0	0	0	0	0	0	0	0
hsa-miR-1185-2-3p	0	0	0	1	0	0	0	0
hsa-miR-1185-5p	1	1	2	0	1	0	0	0
hsa-miR-1193	0	0	0	0	1	0	0	0
hsa-miR-1197	1	0	0	0	0	0	0	0
hsa-miR-1199-3p	0	0	0	0	1	0	0	0
hsa-miR-1199-5p	1	0	0	0	0	1	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0
hsa-miR-1202	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0
hsa-miR-1204	0	1	0	0	0	0	0	0
hsa-miR-1205	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0
hsa-miR-1208	0	0	0	0	0	0	0	0
hsa-miR-122-3p	0	0	0	0	0	0	0	0
hsa-miR-122-5p	1	3	0	1	2	5	1	2
hsa-miR-1224-3p	1	0	1	0	0	0	0	2
hsa-miR-1224-5p	205	299	73	220	141	291	143	162
hsa-miR-1225-3p	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	0	0	3	0	0	0	0
hsa-miR-1226-3p	30	21	12	15	10	19	14	17
hsa-miR-1226-5p	11	17	9	10	6	8	6	12
hsa-miR-1227-3p	7	7	3	4	2	1	7	1
hsa-miR-1227-5p	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	1	0	0	0	0	0	0	1
hsa-miR-1228-5p	10	7	12	7	6	12	5	7
hsa-miR-1229-3p	11	6	7	8	10	3	9	9
hsa-miR-1229-5p	2	5	1	3	1	2	2	2
hsa-miR-1231	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	1	0	1	0	0
hsa-miR-1233-5p	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	3	3	4	5	4	2	1	3
hsa-miR-1236-3p	1	1	1	1	1	0	0	0
hsa-miR-1236-5p	8	11	3	5	1	5	3	2
hsa-miR-1237-3p	16	8	7	5	12	1	3	8
hsa-miR-1237-5p	0	0	0	1	0	0	0	0
hsa-miR-1238-3p	0	0	0	1	0	1	1	1
hsa-miR-1238-5p	0	0	0	0	0	0	0	0
hsa-miR-124-3p	1	1	1	0	0	0	0	0
hsa-miR-124-5p	0	1	0	0	1	0	1	0
hsa-miR-1243	4	1	2	0	2	1	5	1
hsa-miR-1244	0	0	1	1	2	0	1	3
hsa-miR-1245a	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	1	2	0	1	1
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0
hsa-miR-1246	8	6	5	20	33	66	33	40
hsa-miR-1247-3p	360	382	87	141	172	244	235	285
